date, region, infected, recovered, timestamp_requested
2021-07-31 04:21:35,Primorsky Krai,54308,47794,08-03-2021 09.23.24
2021-07-31 04:21:35,Pskov Oblast,43523,36123,08-03-2021 09.23.24
2021-07-31 04:21:35,Rostov Oblast,109200,96818,08-03-2021 09.23.24
2021-07-31 04:21:35,Ryazan Oblast,35043,32592,08-03-2021 09.23.24
2021-07-31 04:21:35,Saint Petersburg,526811,501690,08-03-2021 09.23.24
2021-07-31 04:21:35,Sakha (Yakutiya) Republic,44416,39682,08-03-2021 09.23.24
2021-07-31 04:21:35,Sakhalin Oblast,27323,25501,08-03-2021 09.23.24
2021-07-31 04:21:35,Samara Oblast,75849,70501,08-03-2021 09.23.24
2021-07-31 04:21:35,Saratov Oblast,72815,67981,08-03-2021 09.23.24
2021-07-31 04:21:35,Smolensk Oblast,41325,34317,08-03-2021 09.23.24
2021-07-31 04:21:35,Stavropol Krai,64282,56503,08-03-2021 09.23.24
2021-07-31 04:21:35,Sverdlovsk Oblast,106909,99376,08-03-2021 09.23.24
2021-07-31 04:21:35,Tambov Oblast,37589,35528,08-03-2021 09.23.24
2021-07-31 04:21:35,Tatarstan Republic,23876,21205,08-03-2021 09.23.24
2021-07-31 04:21:35,Tomsk Oblast,37064,33419,08-03-2021 09.23.24
2021-07-31 04:21:35,Tula Oblast,47267,41048,08-03-2021 09.23.24
2021-07-31 04:21:35,Tver Oblast,53387,45312,08-03-2021 09.23.24
2021-07-31 04:21:35,Tyumen Oblast,46280,43051,08-03-2021 09.23.24
2021-07-31 04:21:35,Tyva Republic,21170,17686,08-03-2021 09.23.24
2021-07-31 04:21:35,Udmurt Republic,39738,33543,08-03-2021 09.23.24
2021-07-31 04:21:35,Ulyanovsk Oblast,65366,61041,08-03-2021 09.23.24
2021-07-31 04:21:35,Vladimir Oblast,43019,39990,08-03-2021 09.23.24
2021-07-31 04:21:35,Volgograd Oblast,70926,63173,08-03-2021 09.23.24
